CODE,STATE,CITY,LON,LAT,X,Y,POP,GDP
20015,KS,Butler County,-96.838762,37.773681,-367.5253673556454,4226.586243317006,66092,1827238800
20017,KS,Chase County,-96.594064,38.298553,-339.81320052122896,4282.748154985383,2722,63854600
20019,KS,Chautauqua County,-96.245396,37.154259,-321.9178976090739,4152.23595249792,3520,83016000
20021,KS,Cherokee County,-94.845698,37.169392,-197.11706347568438,4142.604146521196,20952,415042900
20023,KS,Cheyenne County,-101.727302,39.789256,-763.4047875540368,4509.553572385121,2682,71410000
20025,KS,Clark County,-99.813869,37.233831,-639.1407922365079,4198.629299183964,2145,53852400
20027,KS,Clay County,-97.168853,39.344964,-377.14292458825537,4404.6953351670745,8421,225741900
20029,KS,Cloud County,-97.64139,39.487329,-416.09894748899274,4425.302091376711,9339,209580800
20031,KS,Coffey County,-95.729137,38.23645,-264.618782456966,4268.2566578767855,8458,248512800
20033,KS,Comanche County,-99.254089,37.189071,-589.8313227382037,4186.911695695508,2010,47558100
20035,KS,Cowley County,-96.837247,37.234507,-373.7306289854067,4166.528837098693,36079,791920800
20037,KS,Crawford County,-94.853941,37.505628,-194.722032662087,4180.0595501159705,39304,799690800
20039,KS,Decatur County,-100.459708,39.783542,-654.408193470207,4491.384813703885,2905,86834800
20041,KS,Dickinson County,-97.157943,38.867735,-382.2044469404473,4351.4617908647015,19516,476775800
20043,KS,Doniphan County,-95.147225,39.788502,-198.01042861933553,4436.160637628289,7859,184460500
20045,KS,Douglas County,-95.290529,38.896573,-219.46591030042177,4338.111407416497,114967,3174368900
20047,KS,Edwards County,-99.304746,37.883595,-584.0541102839996,4265.0072082286715,2991,76522700
20049,KS,Elk County,-96.244642,37.456026,-318.5367451480484,4185.821891201937,2683,58392400
20051,KS,Ellis County,-99.317329,38.914596,-569.5699332575772,4380.142564711952,28993,756661500
20053,KS,Ellsworth County,-98.205355,38.700845,-475.70667567689964,4343.663536685968,6410,154494000
20055,KS,Finney County,-100.739929,38.049855,-708.2442416495778,4301.6162716875215,37133,822319300
20057,KS,Ford County,-99.884734,37.688365,-638.4062057400141,4250.252957620213,34714,715780400
20059,KS,Franklin County,-95.278962,38.558019,-221.88843096688169,4300.366980469422,25753,632679900
20061,KS,Geary County,-96.768038,39.002155,-346.6534508331857,4362.682486156034,36787,789077200
20063,KS,Gove County,-100.48736,38.917239,-671.4855519367968,4395.111502259661,2735,69698000
20065,KS,Graham County,-99.880952,39.349445,-611.6746693148282,4435.532967195589,2593,73208900
20067,KS,Grant County,-101.299362,37.547537,-766.4409280529986,4253.076399944818,7816,196927100
20069,KS,Gray County,-100.451716,37.744513,-687.8022109812817,4263.722062222001,6065,158487500
20071,KS,Greeley County,-101.805984,38.480408,-794.569723425687,4364.517844734777,1224,31816700
20073,KS,Greenwood County,-96.242232,37.878659,-313.6448941745353,4232.843252427637,6393,149177800
20075,KS,Hamilton County,-101.793689,37.995244,-802.35585067963,4310.107086982984,2586,57539100
20077,KS,Harper County,-98.06659,37.188184,-483.867625968172,4173.5914855294595,5861,144412800
20079,KS,Harvey County,-97.436706,38.050144,-416.901640540567,4263.17311510156,34835,851804500
20081,KS,Haskell County,-100.876869,37.55855,-728.6539379512942,4248.555376471009,4130,100617100
20083,KS,Hodgeman County,-99.898407,38.087493,-633.3529661579323,4294.9739430161935,1939,61170000
20085,KS,Jackson County,-95.794509,39.410989,-257.68174605529396,4399.464935269281,13400,335509600
20087,KS,Jefferson County,-95.375314,39.239644,-223.29410654691105,4376.9434346420985,18898,495632400
20089,KS,Jewell County,-98.222584,39.77701,-462.1646237966588,4463.723344534933,3038,69880100
20091,KS,Johnson County,-94.82233,38.883907,-178.9019230239304,4333.086847347697,566814,22860105100
20093,KS,Kearny County,-101.308136,37.994461,-759.4164096025827,4303.155036187384,3952,94391200
20095,KS,Kingman County,-98.144529,37.552951,-485.9567316077918,4215.0820874649835,7790,194732900
20097,KS,Kiowa County,-99.286539,37.561231,-587.2374666705692,4228.824602463162,2536,61159000
20099,KS,Labette County,-95.297473,37.191468,-237.11560606209306,4148.505952309374,21048,442127900
20101,KS,Lane County,-100.466185,38.481286,-676.9250874521213,4346.1777291950275,1674,52660500
20103,KS,Leavenworth County,-95.038977,39.189511,-194.70738916283264,4368.715363267353,78227,2122955000
20105,KS,Lincoln County,-98.214265,39.047276,-471.6816157318917,4382.355391702049,3154,78703200
20107,KS,Linn County,-94.844932,38.216549,-187.23814166163746,4259.050578880303,9528,252672900
20109,KS,Logan County,-101.157407,38.913269,-729.985068838563,4403.700483429998,2793,80925300
20111,KS,Lyon County,-96.161589,38.455498,-300.1325073971975,4296.330367144792,33462,700808100
20113,KS,McPherson County,-97.647489,38.395812,-430.9897236119091,4303.809655935343,29252,830638200
20115,KS,Marion County,-97.102771,38.359647,-383.6932409740202,4294.353361182441,12290,290565300
20117,KS,Marshall County,-96.521243,39.782709,-315.9762689800861,4447.243680612913,10005,263262500
20119,KS,Meade County,-100.360094,37.243886,-687.7615886749735,4206.61536620237,4383,102763800
20121,KS,Miami County,-94.832963,38.566772,-182.8608304785717,4297.904367497532,32688,961439200
20123,KS,Mitchell County,-98.207362,39.393026,-466.2564908902879,4420.793368541679,6296,173484800
20125,KS,Montgomery County,-95.742403,37.189537,-276.74130257127945,4151.877811103581,34184,713224800
20127,KS,Morris County,-96.644905,38.687696,-339.6909823050187,4326.532486933644,5750,137584300
20129,KS,Morton County,-101.809516,37.185249,-818.3713213172706,4219.7319145924575,3106,69253400
20131,KS,Nemaha County,-96.005381,39.791043,-271.60634560109463,4443.5495715944,10159,264552800
20133,KS,Neosho County,-95.315683,37.564283,-235.0560637803967,4190.123309400139,16423,367114500
20135,KS,Ness County,-99.908745,38.480437,-628.0375839640691,4338.951940377413,3077,92211700
20137,KS,Norton County,-99.899235,39.783867,-606.1913013570579,4484.195936832467,5590,132496500
20139,KS,Osage County,-95.727275,38.649706,-260.0672158177289,4314.215885308403,16080,389822100
20141,KS,Osborne County,-98.767876,39.348649,-515.3593602919093,4422.098304480658,3782,102612800
20143,KS,Ottawa County,-97.654802,39.137963,-421.8931150388117,4386.539740118724,6048,158819600
20145,KS,Pawnee County,-99.232154,38.182873,-573.1759190950669,4297.53338752213,6911,166730100
20147,KS,Phillips County,-99.34215,39.784506,-558.2784399753243,4477.402983455132,5501,137923000
20149,KS,Pottawatomie County,-96.337113,39.382187,-304.840019815869,4401.004112017373,22625,587433400
