source,target,weight
1300839,1302603,11.0
1300904,1100205,6.0
1300904,1302603,9.0
1300904,1304104,1.0
1300904,2106326,1.0
1300904,2510659,1.0
1301001,1302603,2.0
1301100,1300300,1.0
1301100,1302603,3.0
1301100,1304401,1.0
1301159,1300300,2.0
1301159,1302603,1.0
1301209,1301852,1.0
1301209,1302603,4.0
1301308,1301209,1.0
1301308,1302603,4.0
1301407,1301001,1.0
1301407,1302603,2.0
1301506,1302603,1.0
1301654,1200203,24.0
1301704,1100205,1.0
1301704,1300144,1.0
1301803,1301407,4.0
1301852,1301209,1.0
1301852,1302504,3.0
1301852,1302553,3.0
1301852,1302603,56.0
1301902,1301001,2.0
1301902,1302603,9.0
1301902,1303106,3.0
1301902,1303569,2.0
1301902,1304005,2.0
1301902,1304203,1.0
1301902,1304401,2.0
1301902,1500404,1.0
1301902,3138203,1.0
1301902,4217501,1.0
1301951,1301001,1.0
1301951,1302603,1.0
1302009,1301902,1.0
1302009,1302603,11.0
1302009,1303403,1.0
1302009,1304005,3.0
1302009,1304401,1.0
1302306,1302108,1.0
1302306,1302603,5.0
1302306,1304203,1.0
1302405,1100205,1.0
1302405,1300904,2.0
1302405,1302603,3.0
1302405,1304104,2.0
1302504,1200401,2.0
1302504,1300631,1.0
1302504,1301308,1.0
1302504,1301852,3.0
1302504,1302603,10.0
1302504,1303205,2.0
1302603,1100205,2.0
1302603,1200401,1.0
1302603,1300102,1.0
1302603,1300300,1.0
1302603,1300409,2.0
1302603,1300607,1.0
1302603,1300680,2.0
1302603,1300706,1.0
1302603,1300805,1.0
1302603,1301100,2.0
1302603,1301159,6.0
1302603,1301209,10.0
1302603,1301308,7.0
1302603,1301654,1.0
1302603,1301803,3.0
1302603,1301852,7.0
1302603,1301902,5.0
1302603,1302108,2.0
1302603,1302306,2.0
1302603,1302504,8.0
1302603,1302801,3.0
1302603,1302900,2.0
1302603,1303403,1.0
1302603,1303536,5.0
1302603,1303569,5.0
1302603,1303809,1.0
1302603,1304062,1.0
1302603,1304203,2.0
1302603,1304302,2.0
1302603,1304401,1.0
1302603,1400209,1.0
1302603,1500404,1.0
1302603,1506807,14.0
1302603,2111300,1.0
1302603,2611606,2.0
1302603,2703007,1.0
1302603,3106200,1.0
1302603,4217501,1.0
1302603,5002100,1.0
1302603,5300108,1.0
1302702,1100205,1.0
1302702,1302603,1.0
1302702,1303304,2.0
1302801,1304203,3.0
1302900,1301902,1.0
1302900,1302603,5.0
1303007,1302603,2.0
1303007,1303403,1.0
1303007,1503002,4.0
1303106,1300805,8.0
1303106,1301902,3.0
1303106,1302603,4.0
1303205,1302603,4.0
1303304,1302603,8.0
1303403,1300508,2.0
1303403,1300680,3.0
1303403,1301902,1.0
1303403,1302603,11.0
1303403,1503903,4.0
1303403,1504307,1.0
1303536,1302553,1.0
1303536,1302603,4.0
1303569,1302603,8.0
1303957,1302603,4.0
1303957,1304302,3.0
1304005,1301902,1.0
1304005,1302009,1.0
1304005,1302603,2.0
1304062,1300607,2.0
1304062,1302603,1.0
1304062,2111300,1.0
1304062,3136702,1.0
1304062,3303203,1.0
1304062,3304557,1.0
1304104,1302504,1.0
1304104,1302603,4.0
1304203,1300029,2.0
1304203,1301209,1.0
1304203,1301605,1.0
1304203,1302603,1.0
1304203,1302801,1.0
1304203,3205200,1.0
1304203,3304557,1.0
1304203,3305109,1.0
1304203,4106902,1.0
1304302,1302603,10.0
1304302,1303536,1.0
1304302,1303957,3.0
1304401,1301902,3.0
1304401,1302603,12.0
1400027,1400100,1.0
1400050,1400100,5.0
1400050,1400308,1.0
1400100,1302603,7.0
1400100,1400027,6.0
1400100,1400050,10.0
1400100,1400159,9.0
1400100,1400175,24.0
1400100,1400209,4.0
1400100,1400233,3.0
1400100,1400282,2.0
1400100,1400308,8.0
1400100,1400407,6.0
1400100,1400456,4.0
1400100,1400472,3.0
1400100,1400506,1.0
1400100,1400605,1.0
1400100,1400704,2.0
1400100,1501006,1.0
1400100,1501402,1.0
1400100,1505304,1.0
1400100,1508100,1.0
1400100,1600303,1.0
1400100,2105708,1.0
1400100,2109908,1.0
1400100,2304400,1.0
1400100,3303500,1.0
1400159,1400100,4.0
1400175,1400100,53.0
1400175,1400407,1.0
1400175,1507508,1.0
1400175,1508159,1.0
1400209,1400100,2.0
1400209,1400472,1.0
1400209,1400605,1.0
1400233,1400100,1.0
1400233,1400506,1.0
1400282,1400100,11.0
1400282,1400209,2.0
1400282,1400233,1.0
1400282,1400308,1.0
1400308,1400100,9.0
1400308,1400209,1.0
1400308,1400282,1.0
1400308,2502151,1.0
1400407,1400100,4.0
1400456,1400100,2.0
1400472,1400100,1.0
1400472,1400209,2.0
1400506,1400100,2.0
1400506,1400233,2.0
1400506,1400472,1.0
1400506,1400605,10.0
1400605,1400209,4.0
1400605,1400233,1.0
1400605,1400506,1.0
1400605,5203104,1.0
1400704,1400100,1.0
1400704,1400175,1.0
1500107,1302603,1.0
1500107,1400100,1.0
1500107,1501303,193.0
1500107,1501402,11.0
1500107,1501808,1.0
1500107,1503309,7.0
1500107,1504703,29.0
1500107,1504901,1.0
1500107,1507953,3.0
1500107,1508001,1.0
1500107,2611606,1.0
1500131,1501402,1.0
1500131,1506187,3.0
1500131,2304400,1.0
1500206,1501402,2.0
1500206,1501907,2.0
1500206,1502756,2.0
1500206,1504059,1.0
1500206,1504703,2.0
1500206,1508001,1.0
1500305,1502509,12.0
1500305,1600303,1.0
1500347,1505437,1.0
1500347,1508407,2.0
1500404,1302603,1.0
1500404,1504802,1.0
1500404,1505031,1.0
1500503,1505908,3.0
1500503,1506005,1.0
1500503,1600279,29.0
1500503,1600808,12.0
1500602,1302603,1.0
1500602,1500859,1.0
1500602,1501725,4.0
1500602,1503101,2.0
1500602,1504208,1.0
1500602,1504455,2.0
1500602,1507805,1.0
1500602,1508100,1.0
1500602,1508159,1.0
1500602,1508357,9.0
1500602,2108009,1.0
1500602,2304400,1.0
1500602,3131307,1.0
1500602,4111605,1.0
1500602,5201405,1.0
1500701,1500305,1.0
1500800,1200401,1.0
1500800,1302603,1.0
1500800,1500206,1.0
1500800,1500602,1.0
1500800,1501303,13.0
1500800,1501402,2987.0
1500800,1501501,31.0
1500800,1501709,2.0
1500800,1501808,2.0
1500800,1501907,1.0
1500800,1502301,1.0
1500800,1502400,17.0
1500800,1502905,3.0
1500800,1503200,2.0
1500800,1504307,2.0
1500800,1504422,103.0
1500800,1504604,1.0
1500800,1505486,1.0
1500800,1505502,2.0
1500800,1505536,1.0
1500800,1506187,1.0
1500800,1506203,3.0
1500800,1506351,6.0
1500800,1506500,11.0
1500800,1506559,1.0
1500800,1506807,1.0
1500800,1506906,1.0
1500800,1507003,3.0
1500800,1507102,1.0
1500800,1507706,1.0
1500800,1507953,1.0
1500800,1508001,1.0
1500800,1600303,5.0
1500800,2304400,1.0
1500800,2307007,1.0
1500800,2501906,1.0
1500800,2927408,1.0
1500800,3304557,1.0
1500800,3546900,1.0
1500800,5300108,1.0
1500859,1505486,1.0
1500859,1506195,1.0
1500909,1501402,7.0
1500909,1501709,4.0
1500909,1508308,2.0
1500909,3548500,1.0
1500958,1503457,1.0
1500958,1504059,12.0
1500958,1508001,1.0
1501006,1503606,1.0
1501105,1501808,1.0
1501204,1501402,2.0
1501204,1502103,1.0
1501204,1504604,2.0
1501204,1508100,2.0
1501204,5300108,1.0
1501253,1500347,1.0
1501303,1500107,5.0
1501303,1501402,29.0
1501303,1503309,2.0
1501303,1504406,1.0
1501303,1504703,2.0
1501303,1505205,1.0
1501303,1505536,3.0
1501303,1507953,1.0
1501303,1508308,1.0
1501303,2207553,3.0
1501303,3304557,1.0
1501303,5208608,1.0
1501303,5208707,1.0
1501402,1100205,1.0
1501402,1302603,3.0
1501402,1303007,1.0
1501402,1500107,3.0
1501402,1500206,7.0
1501402,1500404,1.0
1501402,1500503,3.0
1501402,1500800,354.0
1501402,1501105,2.0
1501402,1501303,31.0
1501402,1501501,28.0
1501402,1501709,2.0
1501402,1501808,2.0
1501402,1502004,1.0
1501402,1502103,1.0
1501402,1502202,2.0
1501402,1502400,27.0
1501402,1502509,2.0
1501402,1502608,1.0
1501402,1502707,1.0
1501402,1502905,1.0
1501402,1502939,1.0
1501402,1503093,2.0
1501402,1503200,2.0
1501402,1503309,3.0
1501402,1503457,1.0
1501402,1503507,1.0
1501402,1504059,2.0
1501402,1504109,2.0
1501402,1504208,2.0
1501402,1504406,5.0
1501402,1504422,60.0
1501402,1504703,3.0
1501402,1504901,1.0
1501402,1505486,1.0
1501402,1505809,1.0
1501402,1506005,1.0
1501402,1506104,1.0
1501402,1506203,5.0
1501402,1506302,2.0
1501402,1506351,4.0
1501402,1506401,2.0
1501402,1506500,28.0
1501402,1507003,3.0
1501402,1507102,1.0
1501402,1507201,1.0
1501402,1507607,1.0
1501402,1507706,3.0
1501402,1507904,5.0
1501402,1507953,3.0
1501402,1508001,2.0
1501402,1508100,1.0
1501402,1600303,2.0
1501402,1722107,1.0
1501402,2105302,1.0
1501402,2111300,1.0
1501402,2112407,1.0
1501402,2304400,4.0
1501402,2611606,1.0
1501402,2801504,1.0
1501402,2927408,1.0
1501402,3304557,1.0
1501402,3509502,1.0
1501402,3550308,3.0
1501402,4106902,1.0
1501402,4205407,1.0
1501402,4314902,1.0
1501402,5102504,1.0
1501451,1302603,2.0
1501451,1506807,28.0
1501501,1500800,86.0
1501501,1501303,2.0
1501501,1501402,359.0
1501501,1502400,5.0
1501501,1504406,2.0
1501501,1504422,42.0
1501501,1506351,1.0
1501501,1506500,18.0
1501501,1506559,1.0
1501501,1507003,1.0
1501501,1507607,1.0
1501501,1507904,1.0
1501501,1508126,1.0
1501501,2104628,1.0
1501576,1302603,2.0
1501576,1502954,1.0
1501576,1504208,5.0
1501576,1505502,3.0
1501576,1506187,6.0
1501576,2111532,2.0
1501576,3505708,1.0
1501600,1502202,3.0
1501600,1502301,1.0
1501600,1502400,1.0
1501600,1504950,1.0
1501600,1505007,1.0
1501709,1500909,27.0
1501709,1501402,6.0
1501709,1502202,2.0
1501709,1504422,1.0
1501709,1507474,2.0
1501709,1508035,11.0
1501709,1508308,1.0
1501709,1600535,1.0
1501709,3550308,2.0
1501725,1500602,8.0
1501758,1503705,1.0
1501758,1504208,1.0
1501758,1505494,4.0
1501758,1507458,1.0
1501758,1507508,1.0
1501758,1702208,1.0
1501758,2105302,1.0
1501782,1503093,2.0
1501782,1508084,1.0
1501782,1508100,46.0
1501808,1500305,1.0
1501808,1500701,1.0
1501808,1501105,3.0
1501808,1501402,4.0
1501808,1504505,3.0
1501808,1505809,2.0
1501907,1502756,2.0
1501907,1503408,1.0
1501907,1507201,1.0
1501956,1501402,1.0
1501956,1502202,2.0
1501956,1508308,2.0
1501956,2101707,1.0
1501956,2101970,7.0
1502004,1500800,1.0
1502004,1501402,1.0
1502004,1505700,1.0
1502004,1507904,1.0
1502103,1500503,1.0
1502103,1501204,1.0
1502103,1501402,4.0
1502103,1503309,2.0
1502103,1504000,1.0
1502103,1504604,8.0
1502103,1505205,4.0
1502103,1508100,1.0
1502152,1500347,1.0
1502152,1505536,5.0
1502202,1501402,8.0
1502202,1501600,3.0
1502202,1501709,6.0
1502202,1501956,1.0
1502202,1502400,4.0
1502202,1505502,1.0
1502202,1505601,8.0
1502202,1506104,1.0
1502202,1506112,1.0
1502202,1506203,8.0
1502202,1506500,1.0
1502202,1506559,1.0
1502202,1507474,1.0
1502202,1507904,1.0
1502202,1507953,1.0
1502202,1508035,1.0
1502202,1508308,1.0
1502202,2103307,1.0
1502202,2304400,1.0
1502202,3304557,1.0
1502301,1501402,1.0
1502301,1503077,3.0
1502301,1503507,2.0
1502301,1504059,1.0
1502301,1505403,2.0
1502301,1506559,1.0
1502400,1500800,4.0
1502400,1501303,2.0
1502400,1501402,65.0
1502400,1501501,3.0
1502400,1501709,1.0
1502400,1501907,1.0
1502400,1502202,4.0
1502400,1502301,1.0
1502400,1502905,2.0
1502400,1503200,4.0
1502400,1503408,13.0
1502400,1503507,1.0
1502400,1504208,2.0
1502400,1504406,5.0
1502400,1504422,5.0
1502400,1504703,2.0
1502400,1505502,2.0
1502400,1506203,1.0
1502400,1506500,9.0
